,time,trackID,ERK_KTR,ndbErk,posx,posy,posz,meas.bin,ERK_KTR.resc,ERK_KTR.bin
0,1,1,0.7539,0.0,-2.19115320691981,-1.98057500737214,-17.9666731443283,0,0.04049999999999998,0
1,2,1,0.7838,0.0,-2.1440971662313,-2.32384137180896,-17.3855216886979,0,0.06610000000000005,0
2,3,1,0.9061,0.0,-2.07349514396201,-2.5824550540872,-17.3476380375856,0,0.1676375,1
3,4,1,0.8853375,0.0,-2.06613336723781,-2.59748664421621,-17.3825078476194,0,0.16283749999999997,1
4,5,1,0.864575,0.0,-2.05877159051362,-2.61251823434521,-17.4173776576533,0,0.13607499999999995,1
5,6,1,0.8438125,0.0,-2.05140981378942,-2.62754982447421,-17.4522474676871,0,0.1106125,1
6,7,1,0.82305,0.0,-2.04404803706522,-2.64258141460321,-17.487117277721,0,0.08984999999999999,0
7,8,1,0.8022875,0.0,-2.03668626034103,-2.65761300473221,-17.5219870877548,0,0.06908750000000008,0
8,9,1,0.781525,0.0,-2.02932448361683,-2.67264459486122,-17.5568568977886,0,0.045825000000000005,0
9,10,1,0.7607625,0.0,-2.02196270689263,-2.68767618499022,-17.5917267078225,0,0.025062499999999988,0
10,11,1,0.74,0.0,-2.01460093016843,-2.70270777511922,-17.6265965178563,0,0.0,0
11,12,1,0.693261,0.0,-1.98055584417679,-2.74604345132772,-17.873008954786,0,0.0,0
12,13,1,0.7687,0.454388976,-1.96385775805362,-2.762393521103,-18.009820903554,1,0.011700000000000044,0
13,14,1,0.757,0.428571433,-2.11957329893164,-2.49426276819667,-18.8771215290006,1,0.0030999999999999917,0
14,15,1,0.7285,0.392426848,-2.12958395527936,-2.4558693227963,-18.973424014312,1,0.0,0
15,16,1,0.7567,0.0,-2.12921999262237,-2.42894394209383,-19.0006089123383,0,0.0,0
16,17,1,0.693261,0.099827886,-2.14098387955702,-2.36069286392509,-19.0488926009441,0,0.0,0
17,18,1,0.7934,1.0,-2.2008613451834,-2.2047186856554,-19.112555492297,1,0.02729999999999999,0
18,19,1,0.7843,0.950086057,-2.31006293253497,-2.03363868345604,-19.1730362169292,1,0.02353749999999999,0
19,20,1,0.7225,0.0,-2.36953853419176,-2.09977071800247,-19.2257907972493,0,0.0,0
20,21,1,0.7357,0.0,-2.39836012627586,-2.3402019181479,-19.2355484690598,0,0.0,0
21,22,1,0.6951,0.0,-2.48381296276078,-2.49444096298445,-19.2135327801976,0,0.0,0
22,23,1,0.7535,0.0,-2.5945251950836,-2.50400051066943,-19.2533388840228,0,0.0,0
23,24,1,0.7134,0.0,-2.64977027442297,-2.44618733216235,-19.3189610002849,0,0.0,0
24,25,1,0.7177,0.0,-2.61677285723113,-2.47785127471325,-19.3128185955304,0,0.0,0
25,26,1,0.7928,0.0,-2.53313484047074,-2.57485183800916,-19.2787180524029,0,0.0,0
26,27,1,0.7332,0.0,-2.45123156072573,-2.62426780603506,-19.2648322934366,0,0.0,0
27,28,1,0.7282,0.0,-2.41831608144193,-2.6429334428257,-19.2975620011325,0,0.0,0
28,29,1,0.7453,0.0,-2.4670444776957,-2.60694462225617,-19.3889323470596,0,0.0,0
29,30,1,0.7745,0.0,-2.66963931073702,-2.52975180987549,-19.4732635872539,0,0.0,0
30,31,1,0.8199,0.0,-2.94304442854428,-2.46165347334713,-19.5107348979831,0,0.0,0
31,32,1,0.764,0.048192769,-3.10732571387789,-2.37462850420092,-19.5619682391483,0,0.0,0
32,33,1,0.7778,0.0,-3.13138468178408,-2.35280672863932,-19.6605475416094,0,0.0,0
33,34,1,0.775,0.0,-3.12707160658761,-2.42937684851919,-19.7880496669372,0,0.0,0
34,35,1,0.7878,0.0,-3.1523247193595,-2.48383306735625,-19.8479890892101,0,0.0,0
35,36,1,0.7712,0.060240965,-3.15450954668913,-2.44643115839258,-19.8405655038024,0,0.0,0
36,37,1,0.7933,0.137693629,-3.129694545857,-2.35664850534914,-19.8779295532336,0,0.0025000000000000577,0
37,38,1,0.8311,0.08605852,-3.12093719861021,-2.30451557121197,-19.9378967740673,0,0.0025000000000000577,0
38,39,1,0.7908,0.0,-3.1453947862744,-2.37106341651659,-19.973700060666,0,0.0,0
39,40,1,0.7907,0.0,-3.20915772127079,-2.45063897616406,-20.002423353863,0,0.0,0
40,41,1,0.7946,0.022375215,-3.28719012633027,-2.38994310317025,-20.0490190300837,0,0.0,0
41,42,1,0.7947,0.00172117,-3.38542774649429,-2.29120466125607,-20.1102085208914,0,0.0,0
42,43,1,0.799,0.074010327,-3.42866001146879,-2.29606958315033,-20.1720516362408,0,0.0,0
43,44,1,0.8292,0.97074008,-3.33219566643157,-2.23167451183457,-20.3117408850181,1,0.027599999999999958,0
44,45,1,0.8278,0.998278856,-3.13780352558854,-2.10901329711851,-20.5531444485176,1,0.029000000000000026,0
45,46,1,0.8392,0.557659209,-3.01166492070456,-2.15104587837411,-20.7649248583066,1,0.0048000000000000265,0
46,47,1,0.823,0.0,-3.08945684146859,-2.27854056320471,-20.9075790023714,0,0.0,0
47,48,1,0.8086,0.0,-3.21039456387136,-2.30245865058698,-21.0433331645273,0,0.0,0
48,49,1,0.8234,0.0,-3.23896875760919,-2.30268189163318,-21.173819701116,0,0.0,0
49,50,1,0.8489,0.110154904,-3.21179943211482,-2.37358620083273,-21.273671826604,0,0.0031999999999999806,0
50,51,1,0.8275,0.468158334,-3.13999675787294,-2.45105409358464,-21.3221668950855,1,0.01200000000000001,0
51,52,1,0.8395,0.0,-3.11767394413532,-2.44603028741663,-21.3879824451544,0,0.0,0
52,53,1,0.8,0.0,-3.17248964661808,-2.34597656678688,-21.5235547168508,0,0.0,0
53,54,1,0.8002,0.0,-3.15075289355653,-2.24989715885973,-21.7036830400039,0,0.0,0
54,55,1,0.8243,0.0,-2.90690891501433,-2.22514445826225,-21.8910473887553,0,0.0,0
55,56,1,0.8338,0.0,-2.64430268998458,-2.31907435954019,-21.9957579773322,0,0.0,0
56,57,1,0.8091,0.0,-2.57351649379934,-2.40873023193315,-21.9900825816602,0,0.0,0
57,58,1,0.8366,0.0,-2.62807415674557,-2.39251628193864,-21.9054900433043,0,0.0,0
58,59,1,0.8564,0.122203097,-2.78982029532079,-2.2985243816018,-21.8491470813039,0,0.0,0
59,60,1,0.8466,0.0,-3.00358215879502,-2.22843780542752,-21.8798591487132,0,0.0,0
60,61,1,0.8466,0.0,-3.08610219205612,-2.26422788953626,-21.9874398647939,0,0.0,0
61,62,1,0.8763,0.018932875,-2.98903100907298,-2.31899161952818,-22.1336546787593,0,0.0,0
62,63,1,0.8477,0.356282264,-2.8003412760522,-2.33226573050649,-22.266284726016,1,0.00770000000000004,0
63,64,1,0.8607,0.265060246,-2.64882384289074,-2.30311588361752,-22.3128868843824,1,0.00770000000000004,0
64,65,1,0.8615,0.16006884,-2.56752711585291,-2.21819337290754,-22.3064272601666,0,0.0008000000000000229,0
65,66,1,0.8632,0.030981068,-2.55502249764112,-2.18405163749387,-22.3398984053174,0,0.0009000000000000119,0
66,67,1,0.8616,0.072289154,-2.56258235908066,-2.24375529737052,-22.3751380490201,0,0.0016999999999999238,0
67,68,1,0.878,0.566265047,-2.54076666042274,-2.28488010560855,-22.3307289211233,1,0.01639999999999997,0
68,69,1,0.878,0.537005186,-2.53251893613246,-2.28732619956645,-22.2254022719203,1,0.01639999999999997,0
69,70,1,0.8849,0.537005186,-2.57923622672771,-2.31647165017287,-22.1592502305479,1,0.01639999999999997,0
70,71,1,0.8771,0.667814136,-2.58728242932602,-2.33331677747242,-22.1899661674239,1,0.01860000000000006,0
71,72,1,0.8818,0.547332168,-2.52678875553234,-2.33650693882321,-22.2660023897871,1,0.015199999999999991,0
72,73,1,0.8798,0.502581775,-2.48856575874004,-2.42556992637509,-22.3392520072374,1,0.014000000000000012,0
73,74,1,0.8677,0.053356282,-2.53106462924455,-2.6097517495909,-22.4071584529504,0,0.0011999999999999789,0
74,75,1,0.8457,0.0,-2.65491142911333,-2.79219360868038,-22.4485813050947,0,0.0,0
75,76,1,0.853,0.0,-2.92330685461683,-2.95298921009817,-22.3790776136368,0,0.0,0
76,77,1,0.8646,0.0,-3.33074698305827,-3.09733411460809,-22.1293717752569,0,0.0,0
77,78,1,0.8678,0.00172117,-3.64314515346871,-3.14433779590888,-21.7831709472594,0,0.0,0
78,79,1,0.8836,0.132530123,-3.75508412244572,-3.09427917620267,-21.5119336076476,0,0.0037000000000000366,0
